product_category,product_name,product_price,product_price_unit,product_url,image_url
Thực phẩm tươi sống,"Cá basa phi lê không da đông lạnh, 1kg","105,000 ₫",/ Gói,https://online.mmvietnam.com/ca-basa-phi-le-khong-da-dong-lanh-1kg-1111318-10-429832.html,https://mmpro.vn/media/catalog/product/cache/40feddc31972b1017c1d2c6031703b61/4/2/429832.webp?auto=webp&format=pjpg&width=300&height=300&fit=cover
Thực phẩm tươi sống,Thịt vẹm Chile đông lạnh size 300-500,"119,000 ₫",/ Gói,https://online.mmvietnam.com/thit-vem-chile-dong-lanh-size-300-500-1138103-10-424003.html,https://mmpro.vn/media/catalog/product/cache/40feddc31972b1017c1d2c6031703b61/4/2/424003.webp?auto=webp&format=pjpg&width=300&height=300&fit=cover
Thực phẩm tươi sống,"Cá thát lát rút xương ướp xả đông lạnh, 250g","79,000 ₫",/ Gói,https://online.mmvietnam.com/ca-that-lat-rut-xuong-uop-xa-dong-lanh-250g-885015-10-423991.html,https://mmpro.vn/media/catalog/product/cache/40feddc31972b1017c1d2c6031703b61/4/2/423991.webp?auto=webp&format=pjpg&width=300&height=300&fit=cover
Thực phẩm tươi sống,"Cá hồi nhập khẩu cắt thỏi đông lạnh We Are Fresh, 500g","199,000 ₫",/ Gói,https://online.mmvietnam.com/ca-hoi-nhap-khau-cat-thoi-dong-lanh-we-are-fresh-500g-876167-10-423275.html,https://mmpro.vn/media/catalog/product/cache/40feddc31972b1017c1d2c6031703b61/4/2/423275.webp?auto=webp&format=pjpg&width=300&height=300&fit=cover
Thực phẩm tươi sống,"Xà lách Romaine Đà Lạt We Are Fresh, 300g","15,000 ₫",/ Gói,https://online.mmvietnam.com/xa-lach-romaine-da-lat-we-are-fresh-300g-1114322-10-422397.html,https://mmpro.vn/media/catalog/product/cache/40feddc31972b1017c1d2c6031703b61/4/2/422397-1.webp?auto=webp&format=pjpg&width=300&height=300&fit=cover
Thực phẩm tươi sống,"Trứng cá tuyết đông lạnh, 300g","85,000 ₫",/ Gói,https://online.mmvietnam.com/trung-ca-tuyet-dong-lanh-300g-893282-10-419492.html,https://mmpro.vn/media/catalog/product/cache/40feddc31972b1017c1d2c6031703b61/4/1/419492.webp?auto=webp&format=pjpg&width=300&height=300&fit=cover
Thực phẩm tươi sống,"Táo Juliet Organic xuất xứ Pháp, túi 3kg","299,000 ₫",/ Túi,https://online.mmvietnam.com/tao-juliet-organic-xuat-xu-phap-tui-3kg-820034-10-418870.html,https://mmpro.vn/media/catalog/product/cache/40feddc31972b1017c1d2c6031703b61/4/1/418870.webp?auto=webp&format=pjpg&width=300&height=300&fit=cover
Thực phẩm tươi sống,"Ba chỉ bò đông lạnh cắt lát xuất xứ Canada, 300g","99,000 ₫",/ Gói,https://online.mmvietnam.com/ba-chi-bo-dong-lanh-300g-895394-10-417309.html,https://mmpro.vn/media/catalog/product/cache/40feddc31972b1017c1d2c6031703b61/4/1/417309.webp?auto=webp&format=pjpg&width=300&height=300&fit=cover
Thực phẩm tươi sống,"Chà là khô nguyên cành We Are Fresh, 500g","69,000 ₫",/ Hộp,https://online.mmvietnam.com/cha-la-kho-nguyen-canh-we-are-fresh-500g-835697-10-416773.html,https://mmpro.vn/media/catalog/product/cache/40feddc31972b1017c1d2c6031703b61/4/1/416773_1.webp?auto=webp&format=pjpg&width=300&height=300&fit=cover
Thực phẩm tươi sống,"Đậu bắp hữu cơ MM Bio, 300g","32,900 ₫",/ Gói,https://online.mmvietnam.com/dau-bap-huu-co-mm-bio-300g-773017-10-415579.html,https://mmpro.vn/media/catalog/product/cache/40feddc31972b1017c1d2c6031703b61/4/1/415579.webp?auto=webp&format=pjpg&width=300&height=300&fit=cover
Thực phẩm tươi sống,"Rau đay hữu cơ MM Bio, 200g","15,000 ₫",/ Gói,https://online.mmvietnam.com/rau-day-huu-co-200g-mmbio.html,https://mmpro.vn/media/catalog/product/placeholder/default/logommvn-320.webp?auto=webp&format=pjpg&width=300&height=300&fit=cover
Thực phẩm tươi sống,Nho đỏ không hạt We Are Fresh nhập khẩu Úc,"109,000 ₫",/ Ký,https://online.mmvietnam.com/nho-do-khong-hat-we-are-fresh-nhap-khau-uc-1005285-10-414541.html,https://mmpro.vn/media/catalog/product/cache/40feddc31972b1017c1d2c6031703b61/4/1/414541.webp?auto=webp&format=pjpg&width=300&height=300&fit=cover
Thực phẩm tươi sống,Nho xanh không hạt We Are Fresh nhập khẩu Úc,"116,000 ₫",/ Ký,https://online.mmvietnam.com/nho-xanh-khong-hat-we-are-fresh-nhap-khau-uc-1001283-10-414540.html,https://mmpro.vn/media/catalog/product/cache/40feddc31972b1017c1d2c6031703b61/4/1/414540.webp?auto=webp&format=pjpg&width=300&height=300&fit=cover
Thực phẩm tươi sống,"Bò viên đặc biệt TN, 200g","36,600 ₫",/ Gói,https://online.mmvietnam.com/bo-vien-dac-biet-200g-1118765-10-413515.html,https://mmpro.vn/media/catalog/product/cache/40feddc31972b1017c1d2c6031703b61/4/1/413515.webp?auto=webp&format=pjpg&width=300&height=300&fit=cover
Thực phẩm tươi sống,Táo Candine xuất xứ Pháp,"65,000 ₫",/ Ký,https://online.mmvietnam.com/tao-candine-xx-phap-24132510-413251.html,https://mmpro.vn/media/catalog/product/cache/40feddc31972b1017c1d2c6031703b61/4/1/413251.webp?auto=webp&format=pjpg&width=300&height=300&fit=cover
Thực phẩm tươi sống,Cá trích ép trứng đông lạnh xuất xứ Nhật,"1,375,000 ₫",/ Gói,https://online.mmvietnam.com/ca-trich-ep-trung-dong-lanh-xuat-xu-nhat-892945-10-412847.html,https://mmpro.vn/media/catalog/product/cache/40feddc31972b1017c1d2c6031703b61/4/1/412847.webp?auto=webp&format=pjpg&width=300&height=300&fit=cover
Thực phẩm tươi sống,Ba rọi heo VietGAP We Are Fresh đóng khay,"169,000 ₫",/ Ký,https://online.mmvietnam.com/pork-belly-vg-tray-wrf-412211-24122115-20240905.html,https://mmpro.vn/media/catalog/product/cache/40feddc31972b1017c1d2c6031703b61/w/y/wysiwyg_b2c_product_1901_412211.webp?auto=webp&format=pjpg&width=300&height=300&fit=cover
Thực phẩm tươi sống,Cốt lết đùi heo Vietgap We Are Fresh đóng khay,"116,000 ₫",/ Ký,https://online.mmvietnam.com/cot-let-heo-vietgap-we-are-fresh-1093557-10-412217.html,https://mmpro.vn/media/catalog/product/cache/40feddc31972b1017c1d2c6031703b61/4/1/412217.webp?auto=webp&format=pjpg&width=300&height=300&fit=cover
